Pre;Post;Sections;Type
ASIR;ASEL;1;chemical
RIPR;pharyngealepithelium;4;chemical
ASEL;AWCR;1;chemical
ASEL;AIBR;1;chemical
ASEL;AWCR;1;chemical
ASEL;AWCR;1;chemical
AWCR;AIYR;1;chemical
AWCR;ASEL;1;chemical
AWCL;AIYL;2;chemical
AWCL;AIBL;2;chemical
ADAR;RIPR;1;chemical
ADAR;PVR;1;chemical
ADAR;RIPR;5;chemical
ADAR;PVR;5;chemical
ADAR;AVBL;5;chemical
ADAR;RIVR;5;chemical
ADAR;AVJL;5;chemical
IL1DR;PVR;3;chemical
IL1DR;RIPR;3;chemical
IL1DR;IL2DR;3;chemical
IL2DR;RIPR;2;chemical
IL2DR;RICR;2;chemical
PVR;RIPR;3;chemical
PVR;IL1DR;3;chemical
IL2DR;RIPR;2;chemical
IL2DR;OLQDR;2;chemical
IL2DR;IL1DR;3;chemical
IL2DR;RIPR;3;chemical
URADR;IL1DR;1;chemical
URADR;dBWMR2;1;chemical
ASIL;AWCR;1;chemical
ASIL;AIBL;1;chemical
ASIL;ASER;1;chemical
IL1DR;RMDVR;5;chemical
IL1DR;dBWMR3;5;chemical
ASJR;ASKR;1;chemical
AIMR;AVFL;1;chemical
AIMR;AVFR;1;chemical
RIR;AIZR;1;chemical
RIR;AFDR;1;chemical
OLLR;AVEL;1;chemical
OLLR;RMDDR;1;chemical
RMDVR;RMDDL;1;chemical
IL1DR;RIPR;2;chemical
IL1DR;RMDVR;2;chemical
IL1DR;RMDDL;2;chemical
IL1DR;RIPR;4;chemical
IL1DR;dBWMR3;4;chemical
IL1DR;RMDDL;4;chemical
IL2DR;RIPR;1;chemical
IL2DR;IL1DR;1;chemical
IL2DR;RIPR;3;chemical
IL2DR;IL1DR;3;chemical
IL1DR;RIPR;3;chemical
IL1DR;RMDVR;3;chemical
IL1DR;dBWMR1;3;chemical
IL2DR;IL1DR;1;chemical
IL2DR;RIPR;1;chemical
IL1DR;RMDVR;3;chemical
IL1DR;RIPR;3;chemical
IL1DR;RMDDL;3;chemical
URADR;dBWMR3;1;chemical
URADR;RIPR;1;chemical
URADR;dBWMR3;3;chemical
URADR;RIPR;3;chemical
URADR;dBWMR1;2;chemical
URADR;RIPR;2;chemical
IL2DR;RIPR;3;chemical
IL2DR;IL1DR;3;chemical
IL2DR;IL1DR;5;chemical
IL2DR;RIPR;5;chemical
IL2DR;RIPR;2;chemical
IL2DR;IL1DR;2;chemical
IL1DR;RIPR;2;chemical
IL2DR;RIPR;2;chemical
IL2DR;RIPR;1;chemical
IL2DR;RICL;1;chemical
PVR;RIPR;2;chemical
PVR;IL1DR;2;chemical
ASIL;RMFL;1;chemical
ASIL;CEPVR;1;chemical
CEPDR;IL1DR;2;chemical
CEPDR;OLQDR;2;chemical
URADR;dBWMR1;5;chemical
URADR;RIPR;5;chemical
RMDDL;dBWMR1;4;chemical
RMDDL;RMDVR;4;chemical
IL2DR;RIPR;1;chemical
IL2DR;IL1DR;1;chemical
IL2DR;RIPR;1;chemical
IL2DR;RIPL;1;chemical
RIGR;OLQVR;2;chemical
RIGR;URYVR;2;chemical
ASEL;RIR;1;chemical
ASIL;ASER;1;chemical
AWCL;RIAL;2;chemical
AWCL;AWCR;2;chemical
AWCL;RIAL;3;chemical
ASIL;AWCR;2;chemical
ASIL;AIBL;2;chemical
ASIL;ASER;1;chemical
ASIL;ASGL;1;chemical
ASIL;ASGL;1;chemical
RMDVR;RMDVR;1;chemical
RMDVR;URAVL;1;chemical
RMDVR;OLQVL;1;chemical
ASIL;AWCL;1;chemical
IL1VL;vBWML1;3;chemical
IL1VL;RIPL;3;chemical
IL2VL;RIPL;1;chemical
IL2L;RIH;2;chemical
IL2L;OLQVL;2;chemical
IL2DL;RIPL;1;chemical
IL2DL;IL1DL;1;chemical
IL2DL;RIPL;1;chemical
IL2DL;IL1DL;1;chemical
IL2DL;RIPL;2;chemical
IL2DL;IL1DL;2;chemical
CEPDL;IL1DL;3;chemical
CEPDL;OLQDL;3;chemical
CEPDL;URADL;3;chemical
CEPDL;RIPL;3;chemical
IL1DL;dBWML1;3;chemical
IL1DL;RMDDR;3;chemical
IL1DL;GLRDL;3;chemical
IL1DL;SIBDL;3;chemical
ASEL;AFDR;1;chemical
RIH;RIPL;1;chemical
RIH;OLQVL;1;chemical
RIH;RIPL;10;chemical
RIH;OLQVL;10;chemical
ASIR;CEPVR;1;chemical
ASIR;CEHVR;1;chemical
IL1DL;RIPL;2;chemical
IL2DL;RIPL;2;chemical
IL2DL;IL1DL;2;chemical
ASGR;AIAR;1;chemical
IL2DL;IL1DL;2;chemical
IL2DL;RIPL;2;chemical
IL2DL;RMEV;1;chemical
IL2DL;RIPL;1;chemical
IL2DL;RIPL;1;chemical
IL2DL;RIPL;1;chemical
ASIR;hyp;1;chemical
ASIR;hyp;1;chemical
IL2DL;RIPL;2;chemical
IL2DL;IL2DL;2;chemical
RIH;RIPL;3;chemical
RIH;OLQDL;3;chemical
CEPVL;PVR;3;chemical
CEPVL;URAVL;3;chemical
CEPVL;OLQVL;3;chemical
IL2DL;IL1DL;2;chemical
IL2DL;RIPL;2;chemical
ASIR;AWCL;2;chemical
ASIR;AWCR;2;chemical
ASIR;AIAR;2;chemical
AWCL;AWCR;1;chemical
AWCL;AIAR;1;chemical
ASIR;AWCR;1;chemical
SMBVR;PLNL;1;chemical
SMBVR;SAADR;1;chemical
RMDL;RMDVL;1;chemical
RMDL;vBWMR8;1;chemical
RIML;RMDR;3;chemical
RIML;SMDVL;3;chemical
RMDR;RMDVL;4;chemical
RMDR;RIAL;4;chemical
RMDR;RIAR;4;chemical
RIAL;RMDDL;1;chemical
RMDDL;RMDVL;1;chemical
RMDDL;vBWML1;1;chemical
IL1L;RMDVL;2;chemical
IL1L;vBWML1;2;chemical
IL1L;RMDR;1;chemical
IL1L;RMDVL;1;chemical
IL1L;RMDR;1;chemical
IL1L;RMDVL;1;chemical
RIAR;RMDVL;6;chemical
RIAR;RMDR;6;chemical
RMDR;RIAR;2;chemical
RMDR;RMDVL;2;chemical
RMDR;RIAR;1;chemical
RMDR;RMDVL;1;chemical
RIAR;RIAL;2;chemical
RIAR;RMDVL;2;chemical
RIAR;RMDR;2;chemical
IL1L;RMDVL;7;chemical
IL1L;dBWML3;7;chemical
IL1L;dBWML5;7;chemical
RMHL;SIBDR;1;chemical
RMHL;RMDR;1;chemical
RMDVL;vBWMR4;2;chemical
RMDVL;IL1R;2;chemical
RMDDR;RMDVL;1;chemical
RIAL;RMDVL;4;chemical
RIAL;RMDR;4;chemical
RMDR;RIAL;2;chemical
RMDR;RMDVL;2;chemical
OLLL;RMEL;1;chemical
OLLL;RIBL;1;chemical
OLLL;AVER;1;chemical
IL1L;RMDVL;3;chemical
OLLL;RIBL;2;chemical
OLLL;AVER;2;chemical
OLLL;AVER;1;chemical
OLLL;RMDVL;1;chemical
OLLL;RIBL;1;chemical
OLLL;AVER;1;chemical
OLLL;RMDVL;1;chemical
CEPDL;RMDVL;1;chemical
CEPDL;AVER;1;chemical
CEPDL;AVER;1;chemical
CEPDL;RMDVL;1;chemical
OLLL;RIBL;3;chemical
OLLL;AVER;3;chemical
OLLL;CEPDL;3;chemical
CEPDL;RMDVL;1;chemical
CEPDL;RMDVL;1;chemical
CEPDL;RMDVL;1;chemical
RIAR;RMDVL;2;chemical
RIAR;RMDDR;2;chemical
CEPDL;OLLL;4;chemical
CEPDL;AVER;4;chemical
CEPDL;RMDVL;1;chemical
AVM;PVCR;1;chemical
AVM;AVDL;1;chemical
IL1R;AVER;4;chemical
IL1R;RMDR;4;chemical
IL2R;RMDL;3;chemical
IL2R;OLLR;3;chemical
RMDL;dBWMR3;2;chemical
RMDL;RMHL;2;chemical
RMDL;vBWMR4;2;chemical
RMDR;vBWML5;2;chemical
RMDR;RIAR;1;chemical
RMDR;RIAR;1;chemical
IL2L;RMDR;3;chemical
IL2L;RMDL;3;chemical
RMDR;RMDL;2;chemical
RMDR;vBWML4;2;chemical
RMDR;RIAR;3;chemical
RMDR;RIAL;3;chemical
RIAL;RMDR;2;chemical
RMDR;IL1L;2;chemical
RMDR;RMDDL;2;chemical
RMDR;RIAL;2;chemical
IL1L;AVER;2;chemical
IL1L;RMDR;2;chemical
IL1L;RMDDL;2;chemical
IL1L;AVER;3;chemical
IL1L;RMDR;3;chemical
OLLL;RIBL;4;chemical
OLLL;AVER;4;chemical
RMDVL;RMDR;2;chemical
SMBVR;vBWMR4;1;chemical
RMDL;dBWMR3;1;chemical
RMDL;vBWMR4;3;chemical
RMDL;ADER;3;chemical
RMDL;dBWMR4;3;chemical
ALML;RICR;2;chemical
ALML;RICL;2;chemical
RMDL;vBWML1;1;chemical
RMDL;CEPVL;1;chemical
RMDL;vBWML1;1;chemical
RMDL;vBWML1;2;chemical
RMDL;RMER;2;chemical
IL1L;RMDL;2;chemical
IL2L;IL1L;1;chemical
IL2L;RMDL;1;chemical
OLLL;RMDL;1;chemical
ADEL;RMDL;2;chemical
RMHR;RMDL;2;chemical
RMHR;dBWML5;2;chemical
RMDR;RMDL;2;chemical
RMDR;RIAR;2;chemical
RMDR;RIAL;2;chemical
RIMR;RMDL;5;chemical
RIMR;dBWML5;5;chemical
RIMR;RMDL;3;chemical
RIMR;RMDR;3;chemical
RMDL;RIAL;1;chemical
RMDL;RIAR;1;chemical
RIMR;RMDL;1;chemical
ASJL;ASKL;1;chemical
ASJL;ASKR;1;chemical
ASJL;HSNR;1;chemical
ASJL;PVQL;1;chemical
AVFR;HSNL;2;chemical
AVFR;AVBR;2;chemical
AVFR;AVJL;2;chemical
ALA;RMDR;1;chemical
ALA;AVER;1;chemical
AIMR;ASJR;1;chemical
AIMR;AVFR;1;chemical
ASER;AIBR;1;chemical
ASJR;HSNR;1;chemical
CEPDR;BDUR;1;chemical
CEPDR;BDUR;2;chemical
CEPDR;RIFR;2;chemical
CEPDR;BDUR;2;chemical
ADLR;AWCR;1;chemical
ADLR;AIBR;1;chemical
ALA;ASJR;4;chemical
IL1VL;RMDDL;1;chemical
IL1VL;URYVL;1;chemical
PVNL;AVJL;1;chemical
PVNL;BDUR;1;chemical
RIVR;SAADL;1;chemical
RIAL;SAADL;1;chemical
RIAL;SMDDL;1;chemical
RIAL;RIVR;1;chemical
OLLL;SMDVR;2;chemical
URYVL;AVER;1;chemical
URYVL;RMDDL;1;chemical
CEPVL;RIPL;1;chemical
CEPVL;OLQVL;1;chemical
IL1VL;URYVL;2;chemical
IL1VL;RMDDL;2;chemical
OLLL;RMDDL;5;chemical
OLLL;AVER;5;chemical
IL1VL;RMDDL;1;chemical
IL1VL;URAVL;1;chemical
IL1VL;RMDDL;2;chemical
IL1VL;RIPL;2;chemical
URYVL;AVER;6;chemical
URYVL;RMDDL;6;chemical
URYVL;OLLL;6;chemical
IL1L;dBWML3;5;chemical
IL1L;RMDDL;5;chemical
ASKL;AIAL;1;chemical
OLLL;AVER;3;chemical
OLLL;CEPVL;3;chemical
OLLL;RMDDL;3;chemical
OLLL;AVER;5;chemical
OLLL;CEPVL;5;chemical
OLLL;RIBL;1;chemical
OLLL;AVER;1;chemical
IL2DL;URADL;1;chemical
RMDDL;dBWMR5;1;chemical
RMDDL;dBWMR5;1;chemical
RMHL;dBWMR4;1;chemical
IL1R;dBWMR3;3;chemical
IL1R;RMHL;3;chemical
RMHL;dBWMR3;1;chemical
RMHL;IL1R;1;chemical
RMHL;dBWMR3;1;chemical
AVFR;AIAL;1;chemical
AIAL;ASKL;1;chemical
OLLL;AVER;2;chemical
OLLL;RMDDL;2;chemical
IL1R;dBWMR3;3;chemical
IL1R;RMDDL;3;chemical
IL1R;dBWMR5;3;chemical
RMDDL;dBWMR3;1;chemical
RIAR;IL1R;2;chemical
RIAR;RMDDL;2;chemical
RIAR;RIAL;2;chemical
IL1R;RMDDL;1;chemical
OLQDR;RMDDL;1;chemical
RMDR;RMDDL;1;chemical
RMDDL;dBWMR4;3;chemical
RMDDL;dBWMR3;3;chemical
RMDDL;dBWMR2;1;chemical
ASKR;AIAR;1;chemical
AVHR;ASKR;1;chemical
ASKR;ADLR;1;chemical
ASKR;AIBR;1;chemical
ASKR;AIBR;1;chemical
ASKR;ADLR;1;chemical
AIBR;AWCR;1;chemical
AIBR;ADLR;1;chemical
AIBR;AIAR;1;chemical
AWCR;AIBR;1;chemical
AWCR;AIAR;1;chemical
ASJR;ASKR;1;chemical
RIGL;RIR;2;chemical
RIGL;PVPL;2;chemical
ASJL;ASJR;1;chemical
PVPL;AVBL;2;chemical
PVPL;AVAL;2;chemical
BAGR;AQR;3;chemical
BAGR;AVAL;3;chemical
BAGR;BAGL;3;chemical
ADAL;AVJR;2;chemical
ADAL;AVBL;2;chemical
ADFL;RIAL;1;chemical
ADFL;AUAL;1;chemical
ADFL;RIAL;2;chemical
ADFL;AUAL;2;chemical
AUAL;RIAL;6;chemical
AUAL;RIBL;6;chemical
AUAL;URXL;1;chemical
AUAL;RIAL;1;chemical
BAGR;RIAL;1;chemical
PVPL;AVHR;1;chemical
PVPL;PVCR;1;chemical
RIFL;PVPL;1;chemical
RIFL;AVBR;1;chemical
PVQL;ASJL;1;chemical
PVQL;ASKL;1;chemical
ASJL;PVQL;1;chemical
OLLL;RMDDL;3;chemical
OLLL;IL1VL;3;chemical
OLLL;RMDDL;1;chemical
OLLL;AVER;1;chemical
OLLL;RMDDL;1;chemical
OLLL;AVER;1;chemical
OLLL;CEPVL;1;chemical
IL1L;URAVL;2;chemical
IL1L;vBWML1;2;chemical
IL1L;RMDDL;2;chemical
IL1VL;RMDDL;2;chemical
IL1VL;vBWML1;2;chemical
IL1L;vBWML1;3;chemical
IL1L;RMDDL;3;chemical
IL1R;RMDDL;1;chemical
IL1R;vBWMR4;1;chemical
URXL;AUAL;1;chemical
AUAL;RIBL;1;chemical
AUAL;RIBL;2;chemical
URXL;AUAL;1;chemical
URXL;AUAL;1;chemical
URXL;RIAL;2;chemical
URXL;AUAL;2;chemical
AUAL;RIAL;1;chemical
AUAL;AVAL;1;chemical
AUAL;AVAL;3;chemical
AUAL;RIAL;3;chemical
AUAL;RIBL;3;chemical
URXL;RIAL;1;chemical
URXL;RIAL;1;chemical
AUAL;RIBL;1;chemical
URXL;AUAL;1;chemical
BAGR;RIAL;3;chemical
BAGR;RIBL;3;chemical
BAGR;RIAL;1;chemical
BAGR;RIBL;1;chemical
BAGR;RIAL;1;chemical
AINR;RIBL;4;chemical
AINR;BAGR;4;chemical
BAGR;RIBL;1;chemical
BAGR;RIAL;1;chemical
AVHR;AVAL;1;chemical
AVHR;RIR;1;chemical
AUAL;AVAL;1;chemical
AUAL;RIAL;1;chemical
AUAL;AVAL;1;chemical
AWCL;RIAL;1;chemical
AWCL;AVAL;1;chemical
AWCL;SMDVL;1;chemical
AUAL;AVAL;2;chemical
AUAL;RIAL;2;chemical
PVPR;URXR;1;chemical
PVPR;RIAR;1;chemical
PVPR;RIGR;1;chemical
BAGR;AVAL;1;chemical
AWCL;AIYL;1;chemical
BAGR;RIBL;1;chemical
AVHL;ADFR;2;chemical
AVHL;PVPR;2;chemical
AUAL;AIYL;1;chemical
AUAL;RIBL;1;chemical
ADAR;AVBR;1;chemical
ADAR;AVJL;1;chemical
AUAL;RIBL;1;chemical
ADAR;AVAR;2;chemical
ADAR;AVJL;2;chemical
IL2DL;AUAL;2;chemical
AUAL;AVAL;2;chemical
AUAL;BAGR;2;chemical
AUAL;RIBL;1;chemical
AUAL;AVEL;1;chemical
AUAL;RIBL;1;chemical
BAGL;AVEL;1;chemical
AUAL;AVEL;1;chemical
AUAL;RIBL;1;chemical
BAGR;AVEL;1;chemical
BAGR;AVEL;1;chemical
AUAL;RIBL;1;chemical
AUAL;AVEL;1;chemical
AUAL;RIBL;1;chemical
AUAL;RIBL;1;chemical
AUAL;RIBL;1;chemical
AUAL;AVEL;1;chemical
AUAL;RIBL;1;chemical
AUAL;AIZL;1;chemical
AUAL;AVEL;1;chemical
RIVR;RIAL;3;chemical
RIVR;SMDDL;3;chemical
AUAL;AIZL;1;chemical
AUAL;DVA;1;chemical
DVA;AVEL;1;chemical
DVA;AUAL;1;chemical
AUAL;DVA;1;chemical
AUAL;AVEL;1;chemical
DVA;AVEL;1;chemical
DVA;AUAL;1;chemical
RIVR;GLRVL;6;chemical
RIVR;vBWMR7;6;chemical
RIVR;vBWML7;1;chemical
RIVR;GLRVL;8;chemical
RIVR;GLRVR;8;chemical
RIVR;vBWMR7;8;chemical
RIVR;vBWMR6;8;chemical
RIVR;RIVL;8;chemical
AUAR;RIBR;2;chemical
AUAR;RIAR;2;chemical
AUAR;RIBR;1;chemical
AUAR;RIAR;1;chemical
RMFL;BAGL;1;chemical
RMFL;RIBR;1;chemical
AVL;AVKR;2;chemical
AVL;RIMR;2;chemical
RIVR;RMHR;1;chemical
RIVR;vBWML4;1;chemical
RIR;AIZR;1;chemical
AUAR;RIBR;1;chemical
AUAR;RIBR;1;chemical
AUAR;RIBR;1;chemical
AUAR;RIBR;1;chemical
AUAR;RIAR;1;chemical
AUAR;AIZR;2;chemical
BAGL;RIAR;2;chemical
BAGL;RIBR;2;chemical
URXR;AUAR;3;chemical
AUAR;RIAR;3;chemical
AUAR;URXR;3;chemical
AUAR;RIBR;1;chemical
AUAR;BAGL;1;chemical
AUAR;RIAR;1;chemical
AUAR;RIAR;1;chemical
RIAR;AVAR;1;chemical
AUAR;AVAR;1;chemical
AUAR;RIAR;1;chemical
BAGL;AVAR;1;chemical
RIBR;BAGL;2;chemical
RIBR;AVAR;2;chemical
AUAR;AVAR;1;chemical
SMBDL;SAAVR;1;chemical
SMBDL;ALNR;1;chemical
AUAR;AVAR;1;chemical
BAGL;AVAR;2;chemical
AUAR;AINR;1;chemical
AUAR;URXR;1;chemical
AINR;URXR;2;chemical
AINR;AUAR;2;chemical
AINR;AFDR;2;chemical
BAGL;RIBR;1;chemical
AUAR;AVER;1;chemical
BAGL;AVER;2;chemical
BAGL;AUAR;2;chemical
RIVL;vBWMR7;1;chemical
AUAR;AVER;1;chemical
AUAR;RIBR;1;chemical
PVCR;AVBL;1;chemical
PVCR;AVDR;1;chemical
RIVL;vBWMR7;1;chemical
AUAR;AVER;1;chemical
BAGL;RIBR;2;chemical
BAGL;AVER;2;chemical
RIBR;AVER;1;chemical
RIBR;BAGL;1;chemical
ADFR;RIR;2;chemical
ADFR;AIZR;2;chemical
AUAR;AVER;3;chemical
AUAR;RIBR;3;chemical
ADFR;AIZR;1;chemical
ADFR;RIGR;1;chemical
ADFR;AUAR;1;chemical
AUAR;AVER;3;chemical
AUAR;RIBR;3;chemical
AUAR;RIBR;1;chemical
AVKL;RIML;2;chemical
AVKL;RIVL;2;chemical
RIAL;RIVL;4;chemical
RIAL;SMDDR;4;chemical
DVC;CEHVR;2;chemical
DVC;RIBR;2;chemical
DVC;RMFR;2;chemical
DVC;RIGR;2;chemical
SAADR;RMFR;1;chemical
SAADR;AVAL;1;chemical
BAGL;RIGR;1;chemical
BAGL;RIAR;1;chemical
ALNR;SMDVL;1;chemical
ALNR;SMDVL;1;chemical
SAADL;OLLR;1;chemical
SAADL;RIML;1;chemical
ALNR;IL2DR;1;chemical
ALNR;AVAL;1;chemical
ALNR;IL2DR;1;chemical
DVA;AVER;2;chemical
DVA;AVER;2;chemical
DVA;AVER;1;chemical
DVA;AVER;2;chemical
DVA;AVER;1;chemical
OLQDR;RICL;2;chemical
RIPR;OLQDR;2;chemical
RIPL;RIH;2;chemical
RIPL;OLQDR;2;chemical
IL2DR;RIPR;3;chemical
CEPDR;OLQDR;4;chemical
CEPDR;RIH;4;chemical
RIH;OLQDR;1;chemical
RIH;RIPR;1;chemical
RIH;OLQDR;2;chemical
RMEL;RIPR;1;chemical
RMEL;RMEV;1;chemical
RMEV;dBWMR1;2;chemical
RMEV;dBWMR2;2;chemical
RMEV;dBWMR6;2;chemical
RMEV;dBWMR1;2;chemical
RMEV;dBWMR2;2;chemical
RIH;RMEV;1;chemical
OLQDR;RIH;1;chemical
IL2DR;RMEL;1;chemical
IL2DR;URADR;1;chemical
IL2DR;RIPR;1;chemical
IL2DR;RMER;1;chemical
IL2DR;RMEL;1;chemical
IL2DR;RMER;1;chemical
IL2DR;RIPR;3;chemical
IL2DR;RMEL;3;chemical
IL2DR;RMEV;3;chemical
OLQDR;IL1DR;1;chemical
IL2DL;RIH;1;chemical
RIH;CEPDL;3;chemical
RIH;OLQDL;3;chemical
RIMR;SMDDL;1;chemical
URYDR;dBWMR2;2;chemical
URYDR;GLRDR;2;chemical
SMDDR;SMDDL;1;chemical
SMDDR;RIS;1;chemical
ADLL;AVAL;1;chemical
ADLL;AVAL;1;chemical
AVAL;AVDR;1;chemical
AVJR;AVAL;2;chemical
AVJR;PVCR;2;chemical
AVJR;AVBL;2;chemical
ASHL;AVAL;1;chemical
PVCR;AVAL;3;chemical
PVCR;AVBL;3;chemical
AUAL;AVAL;1;chemical
PVCL;AVBR;1;chemical
DVA;AVEL;2;chemical
DVA;AVDR;2;chemical
PVCL;RID;2;chemical
RIMR;RIS;1;chemical
RIMR;AVKL;1;chemical
RIAL;AVAL;1;chemical
AVAL;RIAL;1;chemical
RIMR;RMDL;3;chemical
RIMR;vBWML4;3;chemical
RIMR;vBWML4;2;chemical
RIMR;RMDL;2;chemical
ADEL;RMHR;1;chemical
ADEL;RMHR;1;chemical
RMHR;CEPVL;1;chemical
ADEL;CEPDL;1;chemical
ADEL;ALML;1;chemical
CEPVL;RICL;1;chemical
CEPVL;RMHR;1;chemical
CEPVL;RMHR;1;chemical
AVKR;RIMR;2;chemical
AVKR;RMGL;2;chemical
RIMR;SMDVR;1;chemical
RIMR;RMDR;1;chemical
CEPDL;OLQDL;1;chemical
CEPDL;IL1DL;1;chemical
RIMR;RMDR;2;chemical
RIMR;dBWML5;2;chemical
RIMR;RMDR;4;chemical
RIMR;dBWML5;4;chemical
ADAL;AVJR;1;chemical
ADAL;AVBL;1;chemical
ADAL;AVAL;1;chemical
ADAL;AVJR;1;chemical
AVJR;RID;2;chemical
AVJR;PVCR;2;chemical
AVJR;AVBL;2;chemical
RIMR;dBWML5;2;chemical
RMDR;RMDL;2;chemical
RMDR;dBWML5;2;chemical
RIMR;AVAL;1;chemical
RIMR;AIBL;1;chemical
SAADR;SMDVL;2;chemical
SAADR;RIMR;2;chemical
RIS;RIMR;4;chemical
RIS;AVER;4;chemical
AVKL;AVER;2;chemical
AVKL;RIMR;2;chemical
SAADL;OLLR;2;chemical
SAADL;AVAL;2;chemical
SAADL;RIMR;2;chemical
SAADL;RIML;1;chemical
SAADL;AVAL;1;chemical
ALNR;IL2DR;5;chemical
ALNR;RIML;5;chemical
ALNR;AVAL;5;chemical
RICR;AVAL;1;chemical
RICR;AVAR;1;chemical
AUAR;RIAR;1;chemical
PVCL;AVJL;2;chemical
RIH;CEPDL;1;chemical
RIH;OLQDL;1;chemical
ADLL;AVAL;1;chemical
ADLL;AVDR;1;chemical
RIMR;AVAL;1;chemical
RIMR;AVAL;1;chemical
RIMR;AVAL;1;chemical
AVER;RIMR;1;chemical
AVER;AIZR;1;chemical
ALML;BDUL;2;chemical
IL2VL;RMER;1;chemical
IL2VL;URAVL;1;chemical
AIML;CEPDL;1;chemical
AIML;CEHDL;1;chemical
AIML;CEHDL;1;chemical
RIAL;SMDVR;3;chemical
RIAL;RIAR;3;chemical
CEPDL;ALML;1;chemical
CEPDL;RMHR;1;chemical
CEPDL;RMHR;2;chemical
CEPDL;URBL;2;chemical
RIGL;RIBL;2;chemical
RIGL;BAGR;2;chemical
CEPDL;URBL;1;chemical
CEPDL;RICL;1;chemical
RIBL;AVAL;1;chemical
RIBL;BAGR;1;chemical
CEPDL;RICL;1;chemical
AINR;RIBL;2;chemical
AINR;BAGR;2;chemical
CEPDL;RMGL;1;chemical
CEPDL;RMHR;1;chemical
CEPDL;URBL;1;chemical
CEPDL;RICR;1;chemical
CEPDL;RICL;1;chemical
CEPDL;RICL;1;chemical
CEPDL;RICR;2;chemical
CEPDL;RICL;2;chemical
RICR;CEPDL;1;chemical
URBL;CEPDL;1;chemical
URBL;RMHR;1;chemical
RICL;CEPDL;1;chemical
RMDL;RMHR;1;chemical
RMDL;dBWML5;1;chemical
RMHR;dBWML5;2;chemical
RMHR;dBWML5;1;chemical
URBL;ADAL;1;chemical
URBL;AVBL;1;chemical
URBL;URYDL;1;chemical
CEPDL;URBL;1;chemical
CEPDL;IL1DL;1;chemical
CEPDL;AINL;2;chemical
CEPDL;AFDL;2;chemical
BAGR;AIYL;3;chemical
BAGR;RIBL;3;chemical
RIML;RMDL;1;chemical
RIML;SMDVL;1;chemical
RIML;RMDL;1;chemical
RIML;SMDVL;1;chemical
RIML;AVAL;4;chemical
RIML;SAAVL;4;chemical
RIML;RMDR;2;chemical
RIML;vBWMR4;2;chemical
RMDL;dBWML5;1;chemical
CEPDL;RMHL;1;chemical
CEPDL;RICL;1;chemical
CEPDL;RICR;1;chemical
CEPDR;SMBDL;1;chemical
CEPDR;RICL;1;chemical
CEPDL;CEPDR;1;chemical
SAADR;RIML;1;chemical
SAADR;RIMR;1;chemical
CEPDL;OLLL;2;chemical
CEPDL;AVER;2;chemical
CEPDL;RMDVL;1;chemical
CEPDL;AVER;1;chemical
RMDVL;AVER;2;chemical
RMDVL;CEPDL;2;chemical
CEPDL;RIS;1;chemical
RMER;dBWML3;3;chemical
RMER;vBWML4;3;chemical
CEPDL;AVER;1;chemical
CEPDL;OLLL;1;chemical
CEPDL;OLLL;1;chemical
CEPDL;AVER;1;chemical
OLLL;CEPDL;1;chemical
OLLL;AVER;1;chemical
RIS;CEPDL;1;chemical
RIS;AVER;1;chemical
RIS;RIBL;1;chemical
CEPDL;URYDL;1;chemical
RIML;RMDR;4;chemical
RIML;dBWMR5;4;chemical
CEPDL;RMDVL;1;chemical
OLLL;AVER;1;chemical
RIML;RMDR;3;chemical
RIML;RMDL;3;chemical
CEPDL;RIH;1;chemical
RIH;CEPDL;2;chemical
RIH;RIAR;2;chemical
ADFL;SMBVL;2;chemical
ADFL;RIAL;2;chemical
ADFL;RIAL;2;chemical
ADFL;AIZL;2;chemical
ADFL;SMBVL;2;chemical
PVT;RIH;2;chemical
PVT;RMEV;2;chemical
PVT;RIGR;2;chemical
BAGL;CEPVR;2;chemical
BAGL;CEHVR;2;chemical
RIH;CEPVR;3;chemical
RIH;CEHVR;3;chemical
RMEV;RIBR;2;chemical
RMEV;RIH;2;chemical
RIH;RMEV;1;chemical
RIH;URYVR;1;chemical
RIH;RIBR;1;chemical
RIH;CEPVL;2;chemical
RIH;CEPVL;1;chemical
RIH;CEPVR;3;chemical
RIH;RMEV;2;chemical
RIH;IL2VR;2;chemical
IL2L;RIH;2;chemical
IL2L;OLQVL;2;chemical
OLQVL;IL2L;1;chemical
RIH;IL2VR;1;chemical
RIH;RMEV;1;chemical
RIH;IL2VR;1;chemical
RIH;RMEV;1;chemical
RIH;RMEV;2;chemical
RIH;OLQVR;2;chemical
RIH;RMER;2;chemical
IL2L;RIH;6;chemical
IL2L;OLQVL;6;chemical
IL2R;OLQVR;1;chemical
IL2R;OLQVR;7;chemical
IL2R;RIH;7;chemical
IL2L;OLQDL;4;chemical
IL2L;RIH;4;chemical
IL2L;OLQVL;4;chemical
IL2L;URAVL;2;chemical
IL2L;OLQDL;2;chemical
IL2L;RIH;1;chemical
IL2L;RIH;2;chemical
IL2L;OLQDL;2;chemical
RIPL;OLQVL;1;chemical
IL2L;RIH;1;chemical
IL2L;OLQDL;1;chemical
RIH;OLQDL;1;chemical
RIH;OLQDL;1;chemical
RIH;OLQDL;1;chemical
IL2L;RIH;4;chemical
IL2L;OLQDL;4;chemical
IL2L;RIH;3;chemical
